version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v19,1,11,1,1,1,1,2,101,59.9,55.4,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t1.jsonl,18
v19,2,13,1,4,0,0,5,101,59.8,51.8,7,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t2.jsonl,0
v19,3,13,1,1,0,0,0,101,59.9,56.1,7,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t3.jsonl,0
v19,4,6,1,1,1,1,0,99,59.5,47.2,4,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t4.jsonl,0
v19,5,1,1,1,1,1,3,100,59.5,48.4,3,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t5.jsonl,0
v19,6,18,0,4,1,1,1,99,60.0,59.6,7,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t6.jsonl,0
v19,7,9,1,1,1,1,2,99,59.7,43.8,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t7.jsonl,0
v19,8,12,1,1,1,1,3,100,59.5,41.8,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t8.jsonl,0
v19,9,11,0,4,1,1,2,99,59.9,53.8,7,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t9.jsonl,0
v19,10,14,1,4,0,0,6,101,59.8,55.6,7,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t10.jsonl,0
v19,11,20,0,5,1,1,5,101,59.9,56.2,9,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t11.jsonl,0
v19,12,4,2,1,1,1,3,100,59.9,49.4,4,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t12.jsonl,0
v19,13,8,2,1,0,0,3,99,59.6,45.9,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t13.jsonl,0
v19,14,9,2,1,0,0,3,100,59.6,44.5,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t14.jsonl,0
v19,15,11,1,3,0,0,1,100,59.7,44.6,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t15.jsonl,0
v19,16,11,1,3,0,0,1,100,59.8,48.2,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t16.jsonl,0
v19,17,13,1,4,0,0,6,100,59.8,42.8,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t17.jsonl,0
v19,18,9,2,1,0,0,3,100,59.6,48.0,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t18.jsonl,0
v19,19,8,2,1,0,0,3,99,59.7,48.3,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t19.jsonl,0
v19,20,9,2,1,0,0,3,99,59.5,42.0,6,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t20.jsonl,0
v19,21,1,2,1,0,0,3,100,59.7,50.2,3,passive,custom-c2738ec4-135,survival,0,v19-custom-c2738ec4-135-t21.jsonl,0
