version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v25,1,44,2,0,0,0,71,97,59.4,41.3,72,passive,custom-5f697a3b-742,campaign,0,v25-custom-5f697a3b-742-t1.jsonl,5
v25,2,26,10,0,1,1,70,98,58.8,49.7,72,passive,custom-5f697a3b-742,campaign,0,v25-custom-5f697a3b-742-t2.jsonl,2
v25,3,46,0,0,1,1,71,98,59.4,35.8,72,passive,custom-5f697a3b-742,campaign,0,v25-custom-5f697a3b-742-t3.jsonl,5
v25,4,18,7,0,1,1,36,97,59.8,52.0,72,passive,custom-5f697a3b-742,campaign,0,v25-custom-5f697a3b-742-t4.jsonl,2
v25,5,8,2,0,1,1,13,99,59.9,55.8,72,passive,custom-5f697a3b-742,campaign,0,v25-custom-5f697a3b-742-t5.jsonl,0
v25,1,4,2,0,1,1,23,100,60.0,59.5,72,passive-nofire,custom-5f697a3b-742,campaign,1,v25-custom-5f697a3b-742-t1-noaim.jsonl,0
v25,2,9,9,0,1,1,71,99,58.8,48.5,72,passive-nofire,custom-5f697a3b-742,campaign,1,v25-custom-5f697a3b-742-t2-noaim.jsonl,0
v25,3,6,6,0,1,1,72,99,59.3,49.8,72,passive-nofire,custom-5f697a3b-742,campaign,1,v25-custom-5f697a3b-742-t3-noaim.jsonl,0
v25,4,6,6,0,0,0,71,100,59.6,47.6,72,passive-nofire,custom-5f697a3b-742,campaign,1,v25-custom-5f697a3b-742-t4-noaim.jsonl,0
v25,5,9,8,0,1,1,71,100,58.9,41.9,72,passive-nofire,custom-5f697a3b-742,campaign,1,v25-custom-5f697a3b-742-t5-noaim.jsonl,0
v25,1,1,1,1,0,0,2,99,59.7,42.2,3,hunter,custom-a6b7c90f-813,survival,0,v25-custom-a6b7c90f-813-t1.jsonl,1
v25,2,3,1,2,1,1,4,99,60.0,56.6,4,hunter,custom-a6b7c90f-813,survival,0,v25-custom-a6b7c90f-813-t2.jsonl,5
v25,3,2,2,1,1,1,0,98,59.5,44.5,3,hunter,custom-a6b7c90f-813,survival,0,v25-custom-a6b7c90f-813-t3.jsonl,0
v25,4,5,0,2,1,1,2,98,60.0,57.8,4,hunter,custom-a6b7c90f-813,survival,0,v25-custom-a6b7c90f-813-t4.jsonl,9
v25,5,2,3,1,0,0,0,98,59.6,48.4,3,hunter,custom-a6b7c90f-813,survival,0,v25-custom-a6b7c90f-813-t5.jsonl,6
v25,1,15,0,4,1,1,5,99,60.0,57.6,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t1.jsonl,27
v25,2,12,1,4,0,0,4,99,59.8,48.4,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t2.jsonl,16
v25,3,11,1,3,0,0,1,98,59.8,50.3,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t3.jsonl,25
v25,4,15,0,4,1,1,4,98,59.9,55.6,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t4.jsonl,18
v25,5,9,0,4,1,1,7,99,59.9,52.3,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t5.jsonl,25
v25,6,10,1,1,1,1,2,102,59.9,58.0,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t6.jsonl,9
v25,7,19,0,5,1,1,8,100,59.9,55.9,9,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t7.jsonl,21
v25,8,9,1,1,1,1,2,100,59.7,42.0,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t8.jsonl,14
v25,9,7,2,1,0,0,2,100,59.7,49.0,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t9.jsonl,16
v25,1,1,0,1,1,1,2,97,60.0,58.1,3,hunter,custom-c69c5ff7-f4e,survival,0,v25-custom-c69c5ff7-f4e-t1.jsonl,8
v25,2,5,0,2,1,1,2,98,60.0,57.8,4,hunter,custom-c69c5ff7-f4e,survival,0,v25-custom-c69c5ff7-f4e-t2.jsonl,10
