version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v25,1,44,2,0,0,0,71,97,59.4,41.3,72,passive,custom-5f697a3b-742,campaign,0,v25-custom-5f697a3b-742-t1.jsonl,5
v25,2,26,10,0,1,1,70,98,58.8,49.7,72,passive,custom-5f697a3b-742,campaign,0,v25-custom-5f697a3b-742-t2.jsonl,2
v25,3,46,0,0,1,1,71,98,59.4,35.8,72,passive,custom-5f697a3b-742,campaign,0,v25-custom-5f697a3b-742-t3.jsonl,5
v25,4,18,7,0,1,1,36,97,59.8,52.0,72,passive,custom-5f697a3b-742,campaign,0,v25-custom-5f697a3b-742-t4.jsonl,2
v25,5,8,2,0,1,1,13,99,59.9,55.8,72,passive,custom-5f697a3b-742,campaign,0,v25-custom-5f697a3b-742-t5.jsonl,0
v25,1,4,2,0,1,1,23,100,60.0,59.5,72,passive-nofire,custom-5f697a3b-742,campaign,1,v25-custom-5f697a3b-742-t1-noaim.jsonl,0
v25,2,9,9,0,1,1,71,99,58.8,48.5,72,passive-nofire,custom-5f697a3b-742,campaign,1,v25-custom-5f697a3b-742-t2-noaim.jsonl,0
v25,3,6,6,0,1,1,72,99,59.3,49.8,72,passive-nofire,custom-5f697a3b-742,campaign,1,v25-custom-5f697a3b-742-t3-noaim.jsonl,0
v25,4,6,6,0,0,0,71,100,59.6,47.6,72,passive-nofire,custom-5f697a3b-742,campaign,1,v25-custom-5f697a3b-742-t4-noaim.jsonl,0
v25,5,9,8,0,1,1,71,100,58.9,41.9,72,passive-nofire,custom-5f697a3b-742,campaign,1,v25-custom-5f697a3b-742-t5-noaim.jsonl,0
v25,1,15,0,4,1,1,5,99,60.0,57.6,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t1.jsonl,27
v25,2,12,1,4,0,0,4,99,59.8,48.4,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t2.jsonl,16
v25,3,11,1,3,0,0,1,98,59.8,50.3,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t3.jsonl,25
v25,4,15,0,4,1,1,4,98,59.9,55.6,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t4.jsonl,18
v25,5,9,0,4,1,1,7,99,59.9,52.3,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t5.jsonl,25
v25,6,10,1,1,1,1,2,102,59.9,58.0,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t6.jsonl,9
v25,7,19,0,5,1,1,8,100,59.9,55.9,9,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t7.jsonl,21
v25,8,9,1,1,1,1,2,100,59.7,42.0,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t8.jsonl,14
v25,9,7,2,1,0,0,2,100,59.7,49.0,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t9.jsonl,16
v25,10,10,1,1,0,0,0,99,59.6,43.8,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t10.jsonl,16
v25,11,13,0,4,1,1,0,100,60.0,59.8,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t11.jsonl,28
v25,12,13,0,4,1,1,6,100,59.9,57.1,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t12.jsonl,19
v25,13,2,1,1,0,0,0,99,59.7,50.4,3,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t13.jsonl,0
v25,14,7,1,2,1,1,0,100,59.9,54.2,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t14.jsonl,14
v25,15,8,1,1,1,1,3,100,60.0,58.1,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t15.jsonl,20
v25,16,6,1,1,1,1,2,99,60.0,56.2,4,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t16.jsonl,15
v25,17,8,1,1,1,1,3,100,59.8,50.4,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t17.jsonl,21
v25,18,4,2,1,0,0,0,100,59.7,50.4,3,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t18.jsonl,0
v25,19,10,0,3,1,1,3,99,59.9,51.9,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t19.jsonl,21
v25,20,14,1,4,0,0,6,99,59.7,45.2,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t20.jsonl,17
v25,21,5,1,1,1,1,1,99,60.0,58.3,4,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t21.jsonl,11
v25,22,18,0,5,1,1,7,99,59.9,57.8,9,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t22.jsonl,29
v25,23,19,0,5,1,1,8,99,59.9,58.1,9,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t23.jsonl,21
v25,24,14,1,4,0,0,5,99,59.8,47.9,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t24.jsonl,18
v25,25,12,1,1,1,1,2,99,59.8,48.4,6,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t25.jsonl,7
v25,26,12,1,4,0,0,7,99,59.7,46.4,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t26.jsonl,17
v25,27,15,0,4,1,1,5,100,59.9,54.2,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t27.jsonl,19
v25,28,18,0,5,1,1,0,98,59.9,52.3,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t28.jsonl,27
v25,29,14,0,4,1,1,5,99,60.0,57.8,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t29.jsonl,21
v25,30,18,0,4,1,1,2,100,60.0,58.1,7,passive,custom-c2738ec4-135,survival,0,v25-custom-c2738ec4-135-t30.jsonl,26
v25,2,2,1,1,1,1,1,98,60.0,58.8,3,hunter,custom-c69c5ff7-f4e,survival,0,v25-custom-c69c5ff7-f4e-t2.jsonl,9
v25,3,1,0,1,1,1,2,98,60.0,59.4,3,hunter,custom-c69c5ff7-f4e,survival,0,v25-custom-c69c5ff7-f4e-t3.jsonl,0
v25,4,4,0,2,1,1,3,97,60.0,59.1,4,hunter,custom-c69c5ff7-f4e,survival,0,v25-custom-c69c5ff7-f4e-t4.jsonl,14
v25,5,4,0,2,1,1,3,97,60.0,59.3,4,hunter,custom-c69c5ff7-f4e,survival,0,v25-custom-c69c5ff7-f4e-t5.jsonl,6
v25,6,0,2,1,0,0,0,98,59.6,46.5,3,hunter,custom-c69c5ff7-f4e,survival,0,v25-custom-c69c5ff7-f4e-t6.jsonl,0
